fwdfld[mT],fwdM[Am2],fwdM[arb],revfld[mT],revM[Am2],revM[arb]
-19.825090264114607,-8.0139797054332e-9,-1.,-19.825090264114607,-8.0139797054332e-9,-1.
-19.725090264114606,-8.017398072263077e-9,-1.0004265504724899,-19.725090264114606,-7.99208690660822e-9,-0.9972681739123774
-19.625090264114608,-8.020139372493915e-9,-1.0007686152557311,-19.625090264114608,-7.970534633701373e-9,-0.9945788393122118
-19.525090264114606,-8.02227516776028e-9,-1.0010351239498967,-19.525090264114606,-7.94928095697731e-9,-0.991926764125441
-19.42509026411461,-8.023872882499085e-9,-1.0012344899075771,-19.42509026411461,-7.928285588880277e-9,-0.9893069211923726
-19.325090264114607,-8.02499580394961e-9,-1.001374610233782,-19.325090264114607,-7.907509884034117e-9,-0.9867144882676829
-19.225090264114606,-8.025703082153484e-9,-1.0014628657859386,-19.225090264114606,-7.886916839242272e-9,-0.9841448480204181
-19.125090264114608,-8.026049729954701e-9,-1.001506121173893,-19.125090264114608,-7.866471093487778e-9,-0.9815935880339931
-19.025090264114606,-8.026086622999608e-9,-1.001510724759909,-19.025090264114606,-7.846138927933263e-9,-0.9790565008061916
-18.92509026411461,-8.025860499736907e-9,-1.0014825086586696,-18.92509026411461,-7.825888265920955e-9,-0.9765295837491671
-18.825090264114607,-8.025413961417663e-9,-1.001426788737275,-18.825090264114607,-7.80568867297268e-9,-0.9740090391894421
-18.725090264114606,-8.024785999657144e-9,-1.0013484304454399,-18.725090264114606,-7.785511356789856e-9,-0.9714912743679086
-18.625090264114608,-8.024013137479344e-9,-1.0012519911972502,-18.625090264114608,-7.765329167253499e-9,-0.9689729014398272
-18.525090264114606,-8.023125517253995e-9,-1.0011412322163225,-18.525090264114606,-7.745116596424219e-9,-0.9664507374748278
-18.42509026411461,-8.022148471982188e-9,-1.0010193146038853,-18.42509026411461,-7.724849778542227e-9,-0.9639218044569101
-18.325090264114607,-8.021102768213065e-9,-1.0008888296503964,-18.325090264114607,-7.704506490027324e-9,-0.9613833292844421
-18.225090264114606,-8.020004606043788e-9,-1.0007517988355403,-18.225090264114606,-7.68406614947891e-9,-0.9588327437701618
-18.125090264114608,-8.018865619119579e-9,-1.0006096738282313,-18.125090264114608,-7.66350981767598e-9,-0.956267684641176
-18.025090264114606,-8.01768766806732e-9,-1.0004626868011166,-18.025090264114606,-7.642820197577127e-9,-0.9536859935389604
-17.92509026411461,-8.016441148621174e-9,-1.0003071436762319,-17.92509026411461,-7.621981634320539e-9,-0.9510857170193605
-17.825090264114607,-8.015121092026353e-9,-1.0001424244426746,-17.825090264114607,-7.600980115224e-9,-0.9484651065525906
-17.725090264114606,-8.013727791264522e-9,-0.9999685656592682,-17.725090264114606,-7.57980326978489e-9,-0.9458226185232346
-17.625090264114608,-8.01226132751644e-9,-0.9997855774559057,-17.625090264114608,-7.558440369680183e-9,-0.9431569142302447
-17.525090264114606,-8.010721570161951e-9,-0.9995934435335492,-17.525090264114606,-7.536882328766454e-9,-0.9404668598869435
-17.42509026411461,-8.009108176779974e-9,-0.9993921211642296,-17.42509026411461,-7.515121703079867e-9,-0.9377515266210215
-17.325090264114607,-8.007420593148524e-9,-0.9991815411910477,-17.325090264114607,-7.49315269083619e-9,-0.9350101904745395
-17.225090264114606,-8.005658011120693e-9,-0.9989616027718582,-17.225090264114606,-7.470971132430782e-9,-0.932242332403927
-17.125090264114608,-8.003817852942338e-9,-0.9987319842494768,-17.125090264114608,-7.4485745104385985e-9,-0.9294476382799826
-17.025090264114606,-8.001898181809139e-9,-0.9984924439456877,-17.025090264114606,-7.425963359744974e-9,-0.9266261748467405
-16.92509026411461,-7.999897840063602e-9,-0.9982428374057335,-16.92509026411461,-7.40316474412305e-9,-0.9237813191745371
-16.825090264114607,-7.997815645478323e-9,-0.9979830171089753,-16.825090264114607,-7.380189809207782e-9,-0.9209144620374157
-16.725090264114606,-7.995650391255967e-9,-0.997712832468891,-16.725090264114606,-7.3570388157660915e-9,-0.9180256359743805
-16.625090264114608,-7.993400846029292e-9,-0.9974321298330769,-16.625090264114608,-7.333710948941459e-9,-0.9151147393060476
-16.525090264114606,-7.99106575386113e-9,-0.997140752483247,-16.525090264114606,-7.31020431825393e-9,-0.9121815361346455
-16.42509026411461,-7.9886438342444e-9,-0.9968385406352324,-16.42509026411461,-7.286515957600118e-9,-0.9092256563440151
-16.325090264114607,-7.986133782102102e-9,-0.9965253314389829,-16.325090264114607,-7.262641825253199e-9,-0.9062465955996095
-16.225090264114606,-7.983534564574231e-9,-0.996200996012215,-16.225090264114606,-7.238576803862916e-9,-0.9032437153484943
-16.125090264114608,-7.980845599123902e-9,-0.9958654616648412,-16.125090264114608,-7.214314700455577e-9,-0.9002162428193475
-16.025090264114606,-7.978065489790897e-9,-0.995518554206226,-16.025090264114606,-7.18984453837491e-9,-0.8971628083236154
-15.925090264114607,-7.975192707974708e-9,-0.9951600828946203,-15.925090264114607,-7.165141743069768e-9,-0.8940803454009312
-15.825090264114607,-7.972225633399316e-9,-0.9947898455488255,-15.825090264114607,-7.140195891314539e-9,-0.890967553420897
-15.725090264114606,-7.969162554113175e-9,-0.994407628548193,-15.725090264114606,-7.114998659183929e-9,-0.8878233937078985
-15.625090264114608,-7.966001666489235e-9,-0.9940132068326254,-15.625090264114608,-7.089541906995824e-9,-0.8846468505765445
-15.525090264114606,-7.962741075224922e-9,-0.9936063439025755,-15.525090264114606,-7.063817679311284e-9,-0.8814369313316655
-15.425090264114607,-7.959378793342151e-9,-0.9931867918190469,-15.425090264114607,-7.037818204934552e-9,-0.8781926662683156
-15.325090264114607,-7.955912742187319e-9,-0.9927542912035934,-15.325090264114607,-7.011535896913043e-9,-0.8749131086717709
-15.225090264114606,-7.952340551585982e-9,-0.9923085463012306,-15.225090264114606,-6.984963352537351e-9,-0.87159733481753
-15.125090264114608,-7.948652378052958e-9,-0.9918483288227006,-15.125090264114608,-6.95809335334125e-9,-0.8682444439713147
-15.025090264114606,-7.944842231665417e-9,-0.9913728913337639,-15.025090264114606,-6.930918865101684e-9,-0.8648535583890687
-14.925090264114607,-7.940908438440336e-9,-0.9908820249515574,-14.925090264114607,-6.90343120292554e-9,-0.8614235943529097
-14.825090264114607,-7.936849805626139e-9,-0.9903755808422162,-14.825090264114607,-6.875620164860966e-9,-0.8579532788434109
-14.725090264114606,-7.932665621702723e-9,-0.9898534702208756,-14.725090264114606,-6.847479432486016e-9,-0.8544418234355725
-14.625090264114608,-7.928355656381444e-9,-0.9893156643516696,-14.625090264114608,-6.819003225228735e-9,-0.8508885068183648
-14.525090264114606,-7.923920160605116e-9,-0.9887621945477318,-14.525090264114606,-6.790186207381592e-9,-0.8472926631918073
-14.425090264114607,-7.919359866548017e-9,-0.9881931521711947,-14.425090264114607,-6.761023488101487e-9,-0.84365368226697
-14.325090264114607,-7.914675987615886e-9,-0.9876086886331906,-14.325090264114607,-6.731510621409749e-9,-0.8399710092659729
-14.225090264114606,-7.909870218445924e-9,-0.9870090153938507,-14.225090264114606,-6.701643606192136e-9,-0.8362441449219861
-14.125090264114608,-7.904944734906793e-9,-0.9863944039623054,-14.125090264114608,-6.671418886198833e-9,-0.8324726454792296
-14.025090264114606,-7.899903303743618e-9,-0.9857653243603497,-14.025090264114606,-6.640833350044453e-9,-0.8286561226929734
-13.925090264114607,-7.894753203956002e-9,-0.9851226848757346,-13.925090264114607,-6.609884331208039e-9,-0.8247942438295379
-13.825090264114607,-7.889498260744143e-9,-0.9844669628243925,-13.825090264114607,-6.5785696067405135e-9,-0.8208867315050064
-13.725090264114606,-7.884142148459477e-9,-0.9837986166990543,-13.725090264114606,-6.546886840071391e-9,-0.8169332941575618
-13.625090264114608,-7.878688787374965e-9,-0.9831181356790168,-13.625090264114608,-6.5148342518882276e-9,-0.812933709761131
-13.525090264114606,-7.873142343685062e-9,-0.982426039630141,-13.525090264114606,-6.482411006144881e-9,-0.8088878739922477
-13.425090264114607,-7.86750722950574e-9,-0.9817228791048528,-13.425090264114607,-6.44961675270637e-9,-0.8047957431603867
-13.325090264114607,-7.86178810287448e-9,-0.9810092353421436,-13.325090264114607,-6.4164516273488825e-9,-0.8006573342079655
-13.225090264114606,-7.855989867750269e-9,-0.9802857202675695,-13.225090264114606,-6.382916251759768e-9,-0.7964727247103424
-13.125090264114608,-7.850117674013607e-9,-0.9795529764932521,-13.125090264114608,-6.3490117335375465e-9,-0.7922420528758186
-13.025090264114606,-7.844176917466497e-9,-0.978811677317877,-13.025090264114606,-6.314739666191895e-9,-0.787965517545636
-12.925090264114607,-7.838173239832455e-9,-0.9780625267266956,-12.925090264114607,-6.280102129143664e-9,-0.7836433781939793
