"har","amp_mean","amp_sd"
1,0.00690525071257823,3.09243349149495e-08
3,0.000114364200879689,4.5632938404924e-08
5,4.69568951459606e-05,1.57838014179988e-08
7,2.47637616407708e-05,1.39022988983545e-08
9,1.44335161843298e-05,6.86407728611967e-09
11,8.67229527540281e-06,5.5620883869059e-09
13,5.32023276283732e-06,3.59534974321689e-09
15,3.32173581034862e-06,1.05822757499756e-08
17,2.13796729418314e-06,5.00570493344661e-09
19,1.40709920050645e-06,7.55985213247293e-10
21,9.4449308520761e-07,1.96911473843204e-09
23,6.55304018730223e-07,3.19163237727993e-09
25,4.68710203380681e-07,3.66733235281966e-09
27,3.50283288973542e-07,2.18628054618006e-09
29,2.67733491513112e-07,2.05196832768933e-09
31,2.09312305258157e-07,1.30148193529435e-09
33,1.7203440218873e-07,2.07910210296626e-09
35,1.40865425151541e-07,6.90060682993893e-10
37,1.21064347535372e-07,4.14147757044614e-10
